Temperature (°C),Humidity (%),Air Quality Index,Annual Rainfall (mm),Elevation (m),Wind Speed (km/h),Soil pH,Daylight Hours,Pollution Level,Biodiversity Index
17.440675196366236,59.28802707811576,405.7592353109416,1359.0949879484626,1246.153428806007,36.67802195520107,5.24876118649585,14.437440071415477,4.57759699863386,63.66954067608843
25.759468318620975,1.006369565609333,238.04199298411598,1962.9312475784607,2505.9840616476035,29.762417966413825,5.572115884877697,12.324820013616087,3.7691770173244867,90.00455701138151
20.138168803582193,47.58261958572228,261.5779949960379,2380.0359392791875,532.1063614414898,6.859959090399603,7.098339713376099,18.77129590652425,7.023351294557564,77.39527407318964
17.244159149844844,70.87703909410486,125.26029320858927,2584.36182399377,1508.676049749064,35.25275316392329,6.605686737148881,21.289876742052968,2.073241050299516,12.886535475059091
11.182739966945235,4.39754320240906,302.52150840523615,2485.9555983993782,144.79534414477385,23.21960462976749,3.4228978769868723,0.04828609131811579,0.7427953947672472,6.665736611578021
22.294705653332805,87.95214830237302,151.45240433491753,665.0158480615703,1643.7134613977871,76.29273380216685,3.9448671544644416,23.367047910814684,3.660266251190525,94.20892991594211
11.879360563134625,52.00814166356731,288.642007271491,2519.4907470100397,425.09619032630815,11.162829985626132,3.4233341215340767,8.258897687349958,3.4063534472196757,16.160410142125702
34.58865003910399,3.066104832571792,84.83905778703493,364.16136487456197,2484.3393942905614,14.368104195420505,3.207540754525601,9.579056200132616,1.205241030781643,62.91561652063442
38.18313802505146,22.44136119208402,79.7345461705794,760.4779083415921,2851.331178220044,27.85103008781139,7.656029507670243,8.82439681060038,8.545622958463827,23.57656600509107
9.172075941288885,95.3675696427313,208.51487059599677,1944.1948161847697,4440.6210687128005,28.80268293353051,8.105753445977914,20.264721199893295,6.681477881082082,51.554813038174444
29.586251904133228,58.23197330520553,213.40975755527043,521.1390712513321,797.637846393424,84.6304936696113,5.4970669933566985,17.683023334572074,0.2579116348956856,48.75238990730117
16.444745987645224,10.747256776880453,134.05463245626953,1889.3732661573601,853.129884491334,79.12836564504873,8.813044707134324,4.293861422274725,5.40159557107785,71.87292963814043
18.402228054696614,28.75445022805615,65.798425183345,1062.3039358179785,4258.12978551292,57.86356332052254,8.181586213417987,9.794245338190574,1.538031869501718,82.05372927310569
36.27983191463305,45.67036258604842,19.60526960694853,1402.5064384330153,3877.3478569013646,28.858867886004656,8.162310263250479,0.06544155748844194,5.112201367466628,99.88548372374765
